inferences
1P_Custom_Discovery_Streamers
1P_Custom_High_Intent_Streamers
1P_Custom_Social_Gamers
2P_AT&T_DirectTV_HHEC_0P1C_HAS_DTV > Y_28Feb2019_US [Do Not Use in 2021]
2P_AT&T_HHEC_0P1B_HAS_TV > Y_10Apr2020_US [Do Not Use in 2021]
2P_AT&T_HHEC_5P_MEB_HAS_TV_ONLY > Y_23Sept2020_US [Do Not Use in 2021]
2P_AmeriSave_Refresh_AR_pre_2012-04-01_300k_500k_10-9_26Oct2020_US [Do Not Use in 2021]
2P_Bank of America_LR MLT001_01_19Jan2021_US
2P_Bank of America_Neustar MLT001_01_19Jan2021_US
2P_Campbells_IRI_New R&W Buyers_12Dec2020_US
2P_Chase Bank_PM14678_1_5October2020_US
2P_Chase_Chase1PSegment 1_22September2020_US
2P_Chase_PM7251_1 > 1_24Aug2019_US [Do Not Use in 2021]
2P_Chase__Interest Shoppers_23September2020_US
2P_Chase__Travel_23September2020_US
2P_Comcast_All Subscribers_11Jul2019_US
2P_Custom_Starbucks_SBX_cafevisitor_HHI_UberEATS_26August2020_US [Do Not Use in 2021]
2P_Exxon__Station Splitters_18Feb2021_US
2P_Fidelity_IXI _Investment Propensity_Active Traders_15Oct2020_US
2P_Fidelity_IXI _Investment Propensity_Power ETF Investors_15Oct2020_US
2P_GroupeConnect_Bank of America_Segment group A_02November2020_US
2P_GroupeConnect_Bank of America_Segment group B_02November2020_US
2P_HBO_NOW Lapsed_12March2020_US [Do Not Use in 2021]
2P_HBO_Westworld Engagers_12March2020_US [Do Not Use in 2021]
2P_Lays_Untroubled Relaxers_26August2020_US [Do Not Use in 2021]
2P_MAID 1PD Campaign 2019_Dog_9July2020_US
2P_Macy's_ Occasionalists_Test_90pct_23Sept2020_US [Do Not Use in 2021]
2P_Macy's_05High AUR/AOV Engagement Potential - APR 2019 _Control_10pct_29April2019_US [Do Not Use in 2021]
2P_Macy's_05High AUR/AOV Engagement Potential - APR 2019_29April2019_US [Do Not Use in 2021]
2P_Macy's_08Single Purchaser - APR 2019_29April2019_US [Do Not Use in 2021]
2P_Macy's_12 Month Active_28Jun2019_US [Do Not Use in 2021]
2P_Macy's_12 month Active_Test_28Jun2019_US [Do Not Use in 2021]
2P_Macy's_LR - 08Single Purchaser - APR 2019_Test_90pct_29April2019_US [Do Not Use in 2021]
2P_Macy's_Occasionalists_23Sept2020_US [Do Not Use in 2021]
2P_Macys_36 Month January 2019 - Test_90pct_2018-Dec-17_US [Do Not Use in 2021]
2P_Macys_36MonthAugust2018_TTL-Spotify_Test_90pct_20180806_US [Do Not Use in 2021]
2P_Macys_Macy's 36 Month November 2018 - Spotify_Test_90pct_20181025_US [Do Not Use in 2021]
"2P_Metro_Metro 0 | 1P | LR, LRM, AA | Cookies, DIDs | Metro Base Suppression v2_11Mar2019_US"
2P_Nexcare_IRI > Pain and Allergy Relief Purchasers Last 52W at Walgreens > Proscore_10July2020_US [Do Not Use in 2021]
2P_Nexcare_IRI > Pain and Allergy Relief Purchasers Last 52W at Walmart > Proscore_10July2020_US [Do Not Use in 2021]
2P_Nordstrom_2019_JWN_4Y_Current_Customers > 1_29Oct2019_US [Do Not Use in 2021]
2P_Nordstrom_Jan2020_CurrCust_Lylty > 1_11Mar2020_US [Do Not Use in 2021]
2P_P&G_IRI_Allergy or Cold Relief Buyers_14Jan2021_US
2P_PepsiCo_Doritos Combined_08Jul2020_US [Do Not Use in 2021]
2P_PepsiCo_Ruffles Combined_08Jul2020_US [Do Not Use in 2021]
2P_Ruffles_Doritos_Emerging Adults_08July2020_US [Do Not Use in 2021]
2P_Ruffles_Thriving Families_02-July-2020_US [Do Not Use in 2021]
2P_Smartfood_Popcorn Full Only_09Jul2020_US [Do Not Use in 2021]
2P_Smartfood_Popcorn Full and Light_09Jul2020_US [Do Not Use in 2021]
2P_Starbucks_All Starbucks Rewards_Lapsed and Active_23Sept2020_US [Do Not Use in 2021]
2P_Starbucks_Cold Brew Nitro_14August2020_US [Do Not Use in 2021]
2P_Starbucks_Pushspring_Starbucks_Holiday Retail_Savy Spluger_29Oct2020_US [Do Not Use in 2021]
2P_THD_CORE_GRILLS_AWR_22March2021_US
2P_THD_SEA_PYG_AON_ACQ_1P_INDOORGARDENING_22March2021_US
2P_UltaBeauty_AllAttributes_20180405_US [Do Not Use in 2021]
2P_UltaBeauty_AllAudience_032918_US [Do Not Use in 2021]
2P_UltaBeauty_BronzeMember_March2018_US [Do Not Use in 2021]
2P_Ulta_test_type > Test - Cosmetics_2Mar2020_US [Do Not Use in 2021]
2P_Walmart_SHA256_HW-AllShoppers-12mos-new > 1_11Mar2020_US [Do Not Use in 2021]
2P_Walmart_luid_1007_31Jul2019_US [Do Not Use in 2021]
2P_Walmart_luid_3395_31Jul2019_US [Do Not Use in 2021]
2P_Wells Fargo_Mortgage_All Wells Fargo Customers_14Feb2020_US
2P_Wells Fargo_WF-Paid-EC-NMD-CBD-1P-CRMDMP-March20-CHK Captures WF Checking_8July2020_US
3P_ Custom_Low Calorie/Sugar Conscious Buyers_14Dec2020_US
3P_ Custom_Low Calorie/Sugar Conscious Buyers_18Sept2019_US [Do Not Use in 2021]
3P_ TV_Baseball TV Viewers_US [Do Not Use in 2021]
3P_ TV_Basketball TV Viewers_US [Do Not Use in 2021]
3P_ TV_Custom_Disney_Disney Plus Programming_27Oct2020_US [Do Not Use in 2021]
3P_ TV_Custom_Peacock_NBC Custom Shows_17June2020_US [Do Not Use in 2021]
3P_ TV_Daytime TV Viewers_US [Do Not Use in 2021]
3P_ TV_Family TV Programming_US [Do Not Use in 2021]
3P_ TV_Fight Night Viewers_US [Do Not Use in 2021]
3P_ TV_Football TV Viewers_US [Do Not Use in 2021]
3P_ TV_Heavy TV Viewers_US [Do Not Use in 2021]
3P_ TV_Light TV Viewers_US [Do Not Use in 2021]
3P_ TV_OTT Streamers_US [Do Not Use in 2021]
3P_ TV_Premium_Christmas TV Specials_US [Do Not Use in 2021]
3P_ TV_Premium_TV Networks_HBO_US [Do Not Use in 2021]
3P_ TV_Premium_TV Networks_MTV_US [Do Not Use in 2021]
3P_ TV_Premium_TV Networks_Showtime_US [Do Not Use in 2021]
3P_ TV_Primetime TV Viewers_US [Do Not Use in 2021]
3P_ TV_Reality TV Addicts_US [Do Not Use in 2021]
3P_ TV_Sitcoms/Comedy Shows_US [Do Not Use in 2021]
3P_ TV_Soccer Viewers_US [Do Not Use in 2021]
3P_ TV_Sports TV Enthusiasts_US [Do Not Use in 2021]
3P_ Thriller Movie Enthusiasts_AU
3P_Action Enthusiasts_US
3P_Action Gamers_FR
3P_Action Movie Enthusiasts_AU
3P_Action Movie Enthusiasts_ES
3P_Action Movie Enthusiasts_FR
3P_Action Movie Enthusiasts_UK
3P_Adventure Movie Enthusiasts_FR
3P_Affluent Households_IT
3P_Affluent/High Income_AU
3P_Alcohol Consumers_ES
3P_Alcohol Consumers_IT
3P_Alcohol Consumers_UK
3P_AmazonBlackFriday_FR
3P_American Sports Enthusiasts_IT
3P_American_Steakhouse lovers_IT
3P_Android Users_US
3P_Animation TV & Movie Enthusiasts_AU
3P_Apple Products_US
3P_Apple iOS Users_AU
3P_Apple iOS Users_CA
3P_Apple iOS Users_DE
3P_Apple iOS Users_ES
