platform,search_time,search_query,search_interaction_uris
IPHONE,2021-09-04T17:12:28.342Z[UTC],fnt,['spotify:artist:7I85Ma5xjAo6nlvqOCIiWx']
IPHONE,2021-09-09T15:08:27.186Z[UTC],beto si,['spotify:artist:6kPf6aO5cAHU2RJUDN1UUy']
IPHONE,2021-09-10T17:19:04.724Z[UTC],tra,['spotify:playlist:37i9dQZF1DXc5PHJQUwAnG']
IPHONE,2021-09-11T22:25:10.656Z[UTC],la ple,['spotify:artist:4RtYPfT9hi1qBolEuVArOG']
IPHONE,2021-09-12T23:58:27.538Z[UTC],culon,"['spotify:track:2JNqLKnqJejNzrmRLNFNFL', 'spotify:track:2JNqLKnqJejNzrmRLNFNFL']"
IPHONE,2021-09-15T15:33:22.115Z[UTC],danger,['spotify:artist:23TYM4mYLQjyJLr4x89MjH']
IPHONE,2021-09-15T15:39:00.203Z[UTC],don aero,['spotify:artist:2EkFEL5IvD2W8hpwbjS9yv']
IPHONE,2021-09-15T18:44:28.141Z[UTC],neto,['spotify:artist:0U5RYP2HMdGv2GhicLhkOI']
IPHONE,2021-09-23T01:29:04.865Z[UTC],resid,['spotify:artist:5GcWBUX00IPuWVGMIRK1sS']
IPHONE,2021-09-23T13:04:54.600Z[UTC],techish,['spotify:show:1XtSnvR9YHJQJH3JG1iGfH']
IPHONE,2021-09-23T13:50:25.782Z[UTC],bicken,"['spotify:track:17Yq72h0p15OhCbZ5lJ5gd', 'spotify:track:17Yq72h0p15OhCbZ5lJ5gd']"
IPHONE,2021-09-24T01:01:54.488Z[UTC],flowcast,['spotify:show:34K5mzRHB7F94m8khnZvEQ']
IPHONE,2021-09-24T18:56:25.220Z[UTC],best,[]
IPHONE,2021-09-26T00:40:12.906Z[UTC],card,['spotify:artist:4kYSro6naA4h99UJvo89HB']
IPHONE,2021-09-27T03:02:20.549Z[UTC],lazaro,['spotify:album:3iiMXOjZacdCpHcOfp4r3h']
IPHONE,2021-09-28T02:22:23.089Z[UTC],pizza de da,['spotify:show:5k0Ei0MSg5BuiHshr43aSg']
IPHONE,2021-09-28T14:22:06.660Z[UTC],homegri,"['spotify:track:41ggkdnIRMlKJXDVBfT2G6', 'spotify:track:41ggkdnIRMlKJXDVBfT2G6']"
IPHONE,2021-09-30T15:16:49.323Z[UTC],pycastr,['spotify:show:5tAfL2f6NXqCuoitV7cxUs']
IPHONE,2021-09-30T15:18:10.356Z[UTC],tacosde,['spotify:show:5oiSRDgi4G49LI6NRIYouk']
IPHONE,2021-10-02T03:53:55.301Z[UTC],santa fe klan barr,['spotify:track:68oFTnl77GdGMrRlc2cDhK']
IPHONE,2021-10-03T03:40:56.238Z[UTC],simp,['spotify:artist:6viZnVSHavFUcW0blu6Mvw']
IPHONE,2021-10-03T04:19:52.358Z[UTC],co,[]
IPHONE,2021-10-04T15:10:40.285Z[UTC],yoga,['spotify:artist:3AgxRYe2kXEfsZyB07hqJF']
IPHONE,2021-10-04T19:29:37.315Z[UTC],simp,['spotify:artist:6viZnVSHavFUcW0blu6Mvw']
IPHONE,2021-10-05T00:30:20.082Z[UTC],ed,[]
IPHONE,2021-10-05T02:54:57.926Z[UTC],simp,['spotify:artist:6viZnVSHavFUcW0blu6Mvw']
IPHONE,2021-10-05T02:55:52.121Z[UTC],codigo km,['spotify:artist:231yQfVjg9sGhTNsaym9ck']
IPHONE,2021-10-05T02:57:10.612Z[UTC],socios,['spotify:track:7d8TPVWQLeW5PKrAb76V3N']
IPHONE,2021-10-05T02:57:28.973Z[UTC],no se sob,['spotify:track:3FXGe1es7PX9UgBQvLGk2r']
IPHONE,2021-10-05T02:58:00.274Z[UTC],ed maverick nino,['spotify:track:3q5nnXfQNGbQARV5vC86Fw']
IPHONE,2021-10-05T20:52:47.248Z[UTC],ed ,['spotify:artist:3JSSjGYcIkgsrz7892CelT']
IPHONE,2021-10-05T21:19:32.145Z[UTC],esimp,[]
IPHONE,2021-10-05T21:20:06.503Z[UTC],simp,['spotify:artist:6viZnVSHavFUcW0blu6Mvw']
IPHONE,2021-10-06T15:37:46.362Z[UTC],quail,['spotify:show:5oiSRDgi4G49LI6NRIYouk']
IPHONE,2021-10-07T02:25:40.405Z[UTC],teaam,['spotify:artist:5MRMYpdAWZawm3ivBeWvdK']
IPHONE,2021-10-07T17:37:26.823Z[UTC],pa mis,"['spotify:track:2SKCG5dtZJh7vwhWJi7rCZ', 'spotify:track:2SKCG5dtZJh7vwhWJi7rCZ']"
