name,uri
South Park Mexican,spotify:artist:4kKaAWGdu6WW0W415RWaQA
T-Killa,spotify:artist:52QQ2BADyRwXsS8uqLu2Hl
T3R Elemento,spotify:artist:34nbQa7Hug9DYkRJpfKNFv
TREN LOKOTE,spotify:artist:6DjBv6gyR1HLsvwGUOD5V9
Tankeone,spotify:artist:6CJ0EnASyencrooPZNBpaB
Taxi Dee,spotify:artist:7Kq7Yw8mBmOxc0sdSae55w
Teeam Revolver,spotify:artist:5MRMYpdAWZawm3ivBeWvdK
The Guadaloops,spotify:artist:7l6cdPhOLYO7lehz5xfzLV
The Seler,spotify:artist:07H7kklAEFGHh0VxZNJ9bD
Thug Pol,spotify:artist:5rfk8IhLIR1crAdWocyLoV
Tino El Pingüino,spotify:artist:3BbLQNj5OTxm4AZcwyREFF
Vico C,spotify:artist:0ciTdf9bGl9L3JM1Z0nLCT
West Gold,spotify:artist:1gPiNBRjOB9XochAAFR3iM
Wk,spotify:artist:7BQJLHBNVvz4O2JHmls4Ef
Ximbo,spotify:artist:0RjHsbbdfnI3okpxdZ2JOV
Yoga Fire,spotify:artist:3AgxRYe2kXEfsZyB07hqJF
Yoiker,spotify:artist:6Hg8CIS6vJg7gUi4kTzJEJ
Yung Sarria,spotify:artist:3vxYNXtM9uOMdRAXTXgtmf
iQlover,spotify:artist:4f3gfMiBebyuTylgG4hHbq
Ñengo El Quetzal,spotify:artist:6M7bd1arTLm5FJnNFYKzb6
